id,title,category,word_count,content_clean
cnt_0000,Boas práticas de TypeScript para estreitamento de tipos,Frontend,30,boas práticas de typescript para estreitamento de tipos. conceitos-chave por trás do estreitamento de tipos type narrowing em typescript relevantes para identificar incompatibilidades de prop e state antes da execução.
cnt_0001,Primeiros passos com visão computacional,Data Science,20,primeiros passos com visão computacional. explorando redes neurais convolucionais com visão computacional como forma de extrair características espaciais de imagens.
cnt_0002,JWT a fundo: autenticação sem estado,Backend,28,jwt a fundo autenticação sem estado. uma visão geral da autenticação sem estado stateless em jwt com foco em emitir tokens assinados em vez de sessões no servidor.
cnt_0003,Por que a API HTML5 de Drag and Drop importa em Drag and drop,Frontend,33,por que a api html5 de drag and drop importa em drag and drop. explorando a api html5 de drag and drop como forma de construir listas ordenáveis e quadros kanban no navegador.
cnt_0004,Primeiros passos com chaves de idempotência,Backend,23,primeiros passos com chaves de idempotência. um olhar prático sobre chaves de idempotência essenciais para evitar efeitos colaterais duplicados quando clientes reenviam requisições.
cnt_0005,Um guia prático de streaming de mudanças de banco de dados,Databases,37,um guia prático de streaming de mudanças de banco de dados. uma visão geral do streaming de mudanças de banco de dados em change data capture com foco em propagar atualizações para outros sistemas em tempo real.
cnt_0006,Entendendo o auto scaling do EC2 na AWS,Cloud,28,entendendo o auto scaling do ec2 na aws. conceitos-chave por trás do auto scaling do ec2 na aws relevantes para ajustar a capacidade computacional automaticamente conforme a demanda.
cnt_0007,Boas práticas de scikit-learn para validação cruzada,Data Science,27,boas práticas de scikit-learn para validação cruzada. uma visão geral da validação cruzada no scikit-learn com foco em obter uma estimativa mais confiável do desempenho do modelo.
cnt_0008,Boas práticas de processamento em lote para jobs de dados agendados,Data Engineering,35,boas práticas de processamento em lote para jobs de dados agendados. uma visão geral de jobs de dados agendados em processamento em lote batch processing com foco em rodar grandes transformações em um cronograma fixo.
cnt_0009,Um guia prático de auto scaling do EC2,Cloud,28,um guia prático de auto scaling do ec2. como a aws lida com o auto scaling do ec2 útil para ajustar a capacidade computacional automaticamente conforme a demanda.
cnt_0010,Entendendo a Web Animations API em animações,Frontend,23,entendendo a web animations api em animações. como animações lidam com a web animations api útil para criar transições suaves sem bibliotecas pesadas.
cnt_0011,Gerenciamento de estado com Vue Pinia,Frontend,21,gerenciamento de estado com vue pinia. gerenciando estado reativo global em aplicações vue 3 usando pinia o sucessor moderno do vuex.
cnt_0012,Realm Database em aplicativos mobile,Mobile,23,realm database em aplicativos mobile. implementando o realm como banco de dados local rápido reativo e offline-first em swift kotlin e react native.
cnt_0013,Entendendo testes de injeção de falhas em Chaos Engineering,DevOps,30,entendendo testes de injeção de falhas em chaos engineering. explorando testes de injeção de falhas com chaos engineering como forma de verificar se os sistemas se recuperam bem de falhas.
cnt_0014,Por que o Jetpack Compose importa em Kotlin,Mobile,28,por que o jetpack compose importa em kotlin. um olhar prático sobre o jetpack compose em kotlin essencial para escrever interfaces android de forma declarativa sem layouts xml.
cnt_0015,Primeiros passos com Chaos Engineering,DevOps,29,primeiros passos com chaos engineering. notas práticas sobre testes de injeção de falhas usando chaos engineering com o objetivo de verificar se os sistemas se recuperam bem de falhas.
cnt_0016,Um guia prático de testes de injeção de falhas,DevOps,32,um guia prático de testes de injeção de falhas. um olhar prático sobre testes de injeção de falhas em chaos engineering essencial para verificar se os sistemas se recuperam bem de falhas.
cnt_0017,Boas práticas de Redis para estruturas de dados,Databases,27,boas práticas de redis para estruturas de dados. explorando estruturas de dados com redis como forma de usar sorted sets e hashes além do simples cache chave-valor.
cnt_0018,Um guia prático de agendamento de tarefas em segundo plano,Mobile,35,um guia prático de agendamento de tarefas em segundo plano. conceitos-chave por trás do agendamento de tarefas em segundo plano em otimização de bateria relevantes para minimizar o consumo de energia por atividades em background.
cnt_0019,Limpeza de dados a fundo: tratando valores ausentes,Data Science,29,limpeza de dados a fundo tratando valores ausentes. explorando o tratamento de valores ausentes com limpeza de dados como forma de decidir entre imputar remover ou sinalizar dados faltantes.
cnt_0020,Entendendo streaming unidirecional em Server-Sent Events,Backend,23,entendendo streaming unidirecional em server-sent events. como server-sent events lida com streaming unidirecional útil para enviar atualizações contínuas do servidor para o navegador.
cnt_0021,Data lakes a fundo: schema-on-read,Data Engineering,27,data lakes a fundo schema-on-read. notas práticas sobre schema-on-read usando data lakes com o objetivo de armazenar dados brutos de forma flexível antes de definir sua estrutura.
cnt_0022,Zustand a fundo: gerenciamento de estado leve,Frontend,28,zustand a fundo gerenciamento de estado leve. uma visão geral do gerenciamento de estado leve no zustand com foco em evitar boilerplate comparado às tradicionais stores do redux.
cnt_0023,scikit-learn a fundo: validação cruzada,Data Science,25,scikit-learn a fundo validação cruzada. uma visão geral da validação cruzada no scikit-learn com foco em obter uma estimativa mais confiável do desempenho do modelo.
cnt_0024,Por que module federation importa em micro frontends,Frontend,30,por que module federation importa em micro frontends. uma visão geral de module federation em micro frontends com foco em permitir que equipes independentes publiquem partes da mesma aplicação web.
cnt_0025,Boas práticas de indexação de banco de dados,Databases,28,boas práticas de indexação de banco de dados. por que a ordem das colunas em índices compostos importa e como índices não usados prejudicam o desempenho de escrita.
cnt_0026,Entendendo tsvector do PostgreSQL em busca full-text,Databases,32,entendendo tsvector do postgresql em busca full-text. como busca full-text lida com o tsvector do postgresql útil para buscar em campos de texto grandes de forma eficiente dentro do banco de dados.
cnt_0027,Subqueries correlacionadas em SQL,Databases,17,subqueries correlacionadas em sql. escrevendo consultas sql avançadas usando subqueries correlacionadas e entendendo seu impacto no desempenho.
cnt_0028,Otimização de meta tags para SEO,Frontend,20,otimização de meta tags para seo. configurando open graph twitter cards urls canônicas e metadados dinâmicos em single page applications.
cnt_0029,Um guia prático de regras de alerta,DevOps,25,um guia prático de regras de alerta. conceitos-chave por trás de regras de alerta no grafana relevantes para notificar equipes automaticamente quando métricas ultrapassam limites.
cnt_0030,Por que dar suporte a tablets e dobráveis importa em layouts adaptativos,Mobile,35,por que dar suporte a tablets e dobráveis importa em layouts adaptativos. explorando o suporte a tablets e dobráveis com layouts adaptativos como forma de projetar interfaces que se ajustam a diferentes tamanhos de tela.
cnt_0031,Skeleton screens: desempenho percebido,Frontend,23,skeleton screens desempenho percebido. um olhar prático sobre desempenho percebido com skeleton screens essencial para mostrar conteúdo provisório enquanto os dados ainda carregam.
cnt_0032,Fluxo de desenvolvimento trunk-based,DevOps,23,fluxo de desenvolvimento trunk-based. por que equipes de alta performance preferem trunk-based development com branches de vida curta em vez do pesado gitflow.
cnt_0033,Um guia prático de p-values,Data Science,23,um guia prático de p-values. um olhar prático sobre p-values em testes de hipótese estatística essencial para medir evidências contra uma hipótese nula.
cnt_0034,Entendendo gráficos vetoriais inline em ícones SVG,Frontend,25,entendendo gráficos vetoriais inline em ícones svg. como ícones svg lidam com gráficos vetoriais inline útil para manter ícones nítidos em qualquer resolução de tela.
cnt_0035,Por que a Web Animations API importa em animações,Frontend,28,por que a web animations api importa em animações. notas práticas sobre a web animations api usando animações com o objetivo de criar transições suaves sem bibliotecas pesadas.
cnt_0036,Entendendo Firebase Cloud Messaging em notificações push,Mobile,26,entendendo firebase cloud messaging em notificações push. um olhar prático sobre firebase cloud messaging em notificações push essencial para reengajar usuários mesmo com o app fechado.
cnt_0037,Micro frontends a fundo: module federation,Frontend,27,micro frontends a fundo module federation. um olhar prático sobre module federation em micro frontends essencial para permitir que equipes independentes publiquem partes da mesma aplicação web.
cnt_0038,Arquitetura medalhão em data lakes,Data Engineering,21,arquitetura medalhão em data lakes. projetando plataformas de dados com zonas de armazenamento bronze bruto silver limpo e gold negócio .
cnt_0039,Um guia prático de inputs controlados vs não controlados,Frontend,33,um guia prático de inputs controlados vs não controlados. conceitos-chave por trás de inputs controlados vs não controlados no tratamento de formulários relevantes para decidir como gerenciar o estado de formulários no react.
cnt_0040,Boas práticas de backup de banco de dados para recuperação point-in-time,Databases,35,boas práticas de backup de banco de dados para recuperação point-in-time. conceitos-chave por trás da recuperação point-in-time em backups de banco de dados relevantes para restaurar dados a um momento específico após perda de dados.
cnt_0041,Um guia prático de operações vetorizadas,Data Science,20,um guia prático de operações vetorizadas. explorando operações vetorizadas com numpy como forma de acelerar cálculos numéricos sem loops explícitos.
cnt_0042,Change Data Capture: Debezium,Data Engineering,30,change data capture debezium. conceitos-chave por trás do debezium em change data capture relevantes para capturar mudanças em nível de linha a partir de um banco de dados de origem.
cnt_0043,Segurança mobile: certificate pinning,Mobile,23,segurança mobile certificate pinning. notas práticas sobre certificate pinning usando segurança mobile com o objetivo de prevenir ataques man-in-the-middle em chamadas de api.
cnt_0044,ASP.NET Core a fundo: Minimal APIs,Backend,23,asp.net core a fundo minimal apis. uma visão geral de minimal apis em asp.net core com foco em reduzir boilerplate para microsserviços pequenos.
cnt_0045,Replicação a fundo: réplicas de leitura,Databases,29,replicação a fundo réplicas de leitura. como replicação lida com réplicas de leitura útil para escalar cargas de trabalho intensivas em leitura entre várias cópias do banco de dados.
